MEDICIN_ID,medicin_name,MANUFACTURER
64516,Sodium Bicarbonate,"Hospira, Inc."
33996,OxyContin,Rebel Distributors Corp
47131,Suave Cocoa Butter,Conopco Inc. d/b/a Unilever
19735,Colgate,Colgate-Palmolive
63792,PHOSPHORUS,Hyland's
71344,Effexor,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc."
84353,LBEL FILLING EFFECT FOUNDATION SPF 10,Ventura International LTD
87275,Minocin,"Onset Dermatologics, LLC"
30517,VARIVAX,Merck Sharp & Dohme Corp.
83902,Ketorolac tromethamine,AGILA SPECIALTIES PRIVATE LIMITED
78425,Salsalate,"AvKARE, Inc."
22730,Dehydrated Alcohol,"Akorn, Inc."
51509,Henry Schein Ibuprofen,Henry Schein Inc.
78212,Dextrose and Sodium Chloride,B. Braun Medical Inc.
44945,Quetiapine Fumarate,"Ascend Laboratories, LLC"
82388,KERATEK,GERITREX CORP
22373,Pin-X,"Quartz Specialty Pharmaceuticals, LLC"
70079,Cetirizine Hydrochloride,"Medline Industries, Inc."
29836,Lightning McQueen Sun Smacker SPF 24 Revved Up Raspberry,Bonne Bell LLC
41432,TEV-TROPIN,Teva
64386,Petasites Quercus,Uriel Pharmacy Inc.
28950,Citrate of Magnesium,"Physicians Total Care, Inc."
88739,Focalin,Novartis Pharmaceuticals Corporation
67897,Gabapentin,Aidarex Pharmaceuticals LLC
58887,ANTIBACTERIAL AMBER HAND SOAP,Ningbo United Group Import and Export Co. Ltd.
43158,Lorazepam,AvPAK
65246,RIVASTIGMINE TARTRATE,Macleods Pharmaceuticals Limited
74049,Bicalutamide,"AvKARE, Inc."
90171,FLORIA WHITENING DAY,"TONYMOLY CO., LTD."
71163,Medium Deep Warm Perfecting Makeup Broad Spectrum SPF 25,"Merle Norman Cosmetics, Inc"
52578,ORFADIN,"Rare Disease Therapeutics, Inc."
41286,Clonidine Hydrochloride,REMEDYREPACK INC.
88958,Nystatin,Cardinal Health
31775,DOLOPHINE,"Roxane Laboratories, Inc"
65872,Chlordiazepoxide Hydrochloride,REMEDYREPACK INC.
29305,Levofloxacin,Aidarex Pharmaceuticals LLC
26436,Technetium Tc99m Generator,Medi-Physics Inc.
56979,RUMEX CRISPUS POLLEN,"ALK-Abello, Inc."
95518,Amoxicillin and Clavulanate Potassium,Teva Pharmaceuticals USA Inc
17342,Cold and Hot,MAGVERZ INC
54742,Diphenhydramine Hydrochloride,"Physicians Total Care, Inc."
63979,Esmolol Hydrochloride,Mylan Institutional LLC
71787,Fever Vomiting,Natural Health Supply
82093,Pleo Pef,Sanum Kehlbeck GmbH & Co. KG
66453,Aspirin,A&Z Pharmaceutical Inc.
87075,BETAXOLOL HYDROCHLORIDE,"KVK-TECH, INC."
45075,Levetiracetam,American Health Packaging
20017,Multi-Strain Flu Relief,King Bio Inc.
31554,Azithromycin,Teva Pharmaceuticals USA Inc
74523,Allopurinol,State of Florida DOH Central Pharmacy
26567,Sweet Gum,"Nelco Laboratories, Inc."
70814,Up and Up minoxidil,Target Corporation
17478,Perch,"Antigen Laboratories, Inc."
88714,Triamterene and Hydrochlorothiazide,A-S Medication Solutions LLC
31436,Warfarin Sodium,State of Florida DOH Central Pharmacy
58974,Trazodone Hydrochloride,A-S Medication Solutions LLC
82311,Mosquito,"Nelco Laboratories, Inc."
65437,Health,Walgreen Co
64336,Sodium Chloride,"Hospira, Inc."
47475,PC529 ULTREX,CARROLL COMPANY
42080,Levofloxacin,Macleods Pharmaceuticals Limited
28126,Amoxicillin,Lake Erie Medical DBA Quality Care Products LLC
78193,Medi-First Cold Relief,Unifirst First Aid Corporation
37748,Alprazolam,Actavis Elizabeth LLC
14326,PredniSONE,McKesson Contract Packaging
51148,Chlorthalidone,A-S Medication Solutions LLC
40361,Colgate Max Fresh Clean Mint,"Mission Hills, S.A. de C.V."
69717,Zolpidem Tartrate,Lake Erie Medical DBA Quality Care Products LLC
29665,Sulindac,State of Florida DOH Central Pharmacy
68220,Loratadine,"Physicians Total Care, Inc."
50880,Ready America First Aid Pocket - 33 Pieces,"Genuine First Aid, LLC"
66411,Lachesis Belladonna,Uriel Pharmacy Inc.
54537,Quinapril,"Physicians Total Care, Inc."
11675,Iman Time Control All Day Moisture Complex SPF 15,"Sheencolor Biotech Co., Ltd."
18361,Desoximetasone,"Taro Pharmaceuticals U.S.A., Inc."
29695,Xylishield,"Ultradent Products, Inc."
78075,Pulsatilla Kit Refill,Washington Homeopathic Products
37702,Levetiracetam,Qualitest Pharmaceuticals
45370,Denta 5000 Plus,"Rising Pharmaceuticals, Inc."
50385,Cichorium Stibium Special Order,Uriel Pharmacy Inc.
35792,Metoprolol Succinate,"Physicians Total Care, Inc."
39667,Tetracycline Hydrochloride,"Watson Laboratories, Inc."
21199,Kalium carbonicum 10,Uriel Pharmacy Inc.
47627,Sulfamethoxazole and Trimethoprim,Gen-Source Rx
73049,Topiramate,Mylan Pharmaceuticals Inc.
35606,Children Coldcalm,Laboratoires Boiron
68189,MINI HAND SANITIZER - COCONUT AND LIME,"Goldessence, Limited"
68850,Proactiv Solution,Guthy-Renker LLC
18272,Clindamycin,Sagent Pharmaceuticals
94757,FLAWLESS FINISH PERFECTLY NUDE MAKEUP BROAD SPECTRUM SUNSCREEN SPF 15 SHADE SIENNA,"Elizabeth Arden, Inc"
33789,Hot Spot,Pure Source
29086,Granisetron Hydrochloride,West-Ward Pharmaceutical Corp
64429,Lidocaine,Premier Brands of America Inc.
35044,Premier Value Cold Sore Treatment,Premier Value
62313,PMS HP,"Natural Creations, Inc."
53189,Listerine Total Care Zero,"Johnson & Johnson Healthcare Products, Division of McNEIL-PPC, Inc."
95365,CPDA-1,"Fenwal, Inc."
50240,4 in 1 Pressed Mineral SPF 15 Light,PUR MINERALS
47529,Metoclopramide,"AvKARE, Inc."
82549,Levothyroxine sodium,Sandoz Inc.
58700,BENZTROPINE MESYLATE,Rising Pharmaceuticals Inc
58041,Sodium Chloride,Cardinal Health
82207,Stretch Mark Control,Forces of Nature
44961,DIORSNOW WHITE REVEAL PURE TRANSPARENCY MAKEUP SPF 30 021 Linen,Parfums Christian Dior
43256,Ceramide Plump Perfect Lip Moisture SPF 30,"Elizabeth Arden, Inc"
18368,Bupropion,"Physicians Total Care, Inc."
60705,Rybix,Shionogi Inc.
85257,AUREOBASIDIUM PULLULANS VAR PULLULANS,"ALK-Abello, Inc."
13268,SMART SENSE,KMART CORPORATION
80828,Carvedilol,"Preferred Pharmaceuticals, Inc."
70346,Acyclovir,REMEDYREPACK INC.
96473,SENSAI CELLULAR PERFORMANCE CREAM FOUNDATION,KANEBO COSMETICS INC.
84653,"Neomycin and Polymyxin B Sulfates, and Bacitracin Zinc","Akorn, Inc."
32622,Body Luxuries Cherry Blossom Waterless Anti-bacterial Hand Sanitizer,ENCHANTE ACCESSORIES INC.
48145,Diltiazem Hydrochloride,Oceanside Pharmaceuticals
70376,Amazonian Clay 12-Hour Full Coverage Foundation Broad Spectrum SPF 15 Sunscreen,"Tarte, Inc"
91284,Arnica,Apotheca Company
17791,HUSKY 510 Anti-Microbial Food Service Hand Cleaner,Canberra Corporation
38824,Ibuprofen (NSAID) Pain Reliever/Fever Reducer,"A&Z Pharmaceutical, Inc."
98542,Amlodipine Besylate,Cadila Healthcare Limited
25938,BareMinerals,Bare Escentuals Beauty Inc.
88433,Laura Mercier Tinted Moisturizer SPF 20 FAWN,Gurwitch Products
67581,Potassium Chloride,BluePoint Laboratories
57027,CARBON DIOXIDE,"U.S. Oxygen and Supply, LLC"
57656,Moisture Renew,Rimmel Inc.
64260,Quetiapine fumarate,BluePoint Laboratories
20397,Oxygen,I.D.M. Medical Supply Company Inc.
73180,SILICEA,REMEDY MAKERS
44255,Pleo San Ger,Sanum Kehlbeck GmbH & Co. KG
42047,ceftriaxone,Sagent Pharmaceuticals
24335,YES TO CARROTS FRAGRANCE-FREE DAILY FACIAL MOISTURIZER SPF15,"Autumn Harp, Inc"
75554,Lovenox,sanofi-aventis U.S. LLC
68818,Clindamycin Hydrochloride,REMEDYREPACK INC.
48779,Carnitor SF,"Sigma-Tau Pharmaceuticals, Inc."
85903,Fluoxetine,"NCS HealthCare of KY, Inc dba Vangard Labs"
57985,PROCHLORPERAZINE MALEATE,Bryant Ranch Prepack
43199,NIRAVAM,STAT RX USA LLC
51511,PanOxyl,Stiefel Laboratories Inc
13812,RESILIENCE LIFT,ESTEE LAUDER INC
10671,Aromafields Jasmine Scented Anti-Bacterial Hand,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.
32588,IBUDONE,Poly Pharmaceuticals
46432,Nephrocaps,American Health Packaging
23538,Clonazepam,"Golden State Medical Supply, Inc"
80630,AZITHROMYCIN,Rebel Distributors Corp.
45297,Ropinirole,Dr. Reddys Laboratories Limited
53586,Birch,"Nelco Laboratories, Inc."
63135,ORTHO GUARD,Massco Dental A Division of Dunagin Pharmaceuticals
56336,Health Mart Pharmacy Childrens Loratadine,Health Mart
65651,Sunmark Allergy Relief,McKesson
18067,Simvastatin,REMEDYREPACK INC.
75013,Glycopyrrolate,"American Regent, Inc."
40241,SOLU-MEDROL,Cardinal Health
72391,antacid,Select Brand
84437,Metronidazole,Mylan Institutional Inc.
15625,Homeopathic Eczema,Indiana Botanic Gardens
28896,Stridex,Blistex Inc
31032,up and up childrens multi symptom cold,Target Corporation
85411,Tirosint,"Akrimax Pharmaceuticals, LLC"
42283,Carvedilol,Apotex Corp.
83372,Sodium Chloride,B. Braun Medical Inc.
63077,OXYGEN,Compressed Gases Inc
32915,Baclofen,Northstar RxLLC
45497,Good Sense Aller Ease,L Perrigo Company
30977,Family Dollar Antibacterial Hand,Family Dollar Services Inc.
90855,OXYGEN,"Medical Home Care, Inc"
34629,Anal Itch Ease,Feelgood Health
39217,Infergen,"Kadmon Pharmaceuticals, LLC"
98370,Sea Pure Hydrating,H2O PLUS
76709,Cromolyn Sodium,CVS Pharmacy
39709,Verapamil Hydrochloride,"General Injectables & Vaccines, Inc"
99468,CENTER-AL - OLEA EUROPAEA POLLEN,"ALK-Abello, Inc."
84566,Oxycodone Hydrochloride,Zydus Pharmaceuticals (USA) Inc.
42867,Ibuprofen,"Stephen L. LaFrance Pharmacy, Inc."
31092,Diltiazem Hydrochloride,Cardinal Health
49492,SHISEIDO PERFECT REFINING FOUNDATION,SHISEIDO AMERICA INC.
90873,Simvastatin,McKesson Packaging Services a business unit of McKesson Corporation
97496,Lombardy Poplar,"Nelco Laboratories, Inc."
12317,LEVOXYL,Pfizer Laboratories Div Pfizer Inc
28775,Instant Hand Sanitizer,"Evonik Stockhausen, LLC"
19872,CD DIORSKIN CITY DEFENSE Toxin Shield Pollution UV Advanced Protection with sunscreen Broad Spectrum SPF50,Parfums Christian Dior
64029,"PEG-3350, sodium chloride, sodium bicarbonate and potassium chloride","Affordable Pharmaceuticals, LLC"
43557,Headache Congested,Washington Homeopathic Products
74169,Medline Peroxi Fresh,"Medline Industries, Inc."
89224,Glimepiride,Perrigo New York Inc
66454,Minocin,"Triax Pharmaceuticals, LLC"
65496,Divalproex Sodium,Major Pharmaceuticals
31660,RE9 Advanced,"Arbonne International, LLC"
24806,Lustra-AF,"Taro Pharmaceuticals U.S.A., Inc."
12092,MK Povidone-Iodine Swabstick Sterile,"Changzhou Maokang Medical Products Co., Ltd"
19197,Venapro,Pacific Naturals
64262,USTILAGO MAYDIS,"ALK-Abello, Inc."
60741,Alprazolam,Aurobindo Pharma Limited
57086,Topcare Nicotine,Topco Associates LLC
80265,Hypothalmupar,Apotheca Company
69813,Clotrimazole,"Taro Pharmaceuticals, Inc."
23422,Rheumatic Joint Care,"Newton Laboratories, Inc."
51760,dg health cold plus flu relief,"Dolgencorp, LLC"
85007,Pleo Muc,SANUM-KEHLBECK GMBH & CO KG
86108,Arnica Rosa,Uriel Pharmacy Inc.
10977,promethazine hydrochloride,Clinical Solutions Wholesale
30297,ALLI,GlaxoSmithKline Consumer Healthcare LP
92824,HYDRALAZINE HYDROCHLORIDE,Cadila Pharmaceuticals Limited
41835,Dexamethasone,"Roxane Laboratories, Inc"
72913,ProStat Antiseptic First Aid,ProStat First Aid
27393,Bluefish,"Nelco Laboratories, Inc."
67979,Fresh Umbrian Clay Freshface Foundation SPF 20 Fair Isle,Guerlain
57696,Cyclobenzaprine Hydrochloride,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
53217,Menest,"Physicians Total Care, Inc."
72354,pravastatin sodium,American Health Packaging
62976,Naratriptan,Sandoz Inc
13360,Amoxicillin and Clavulanate Potassium,West-Ward Pharmaceutical Corp
97059,Garnier Skin Renew Miracle Skin Perfector AntiAging BB Broad Spectrum SPF 15 Sunscreen,L'Oreal USA Products Inc
19680,Leader Extra Strength Medicated Pain Relief Patch,Cardinal Health
14268,Stool Softener,QUALITY CHOICE (Chain Drug Marketing Association)
96888,PDI Alcohol Swabstick,"Professional Disposables International, Inc."
21627,Dandruff,Wakefern
11067,Antispetic,Select Brand Distributors
97222,white faced hornet hymenoptera venom,Jubilant HollisterStier LLC
56472,Levofloxacin,Citron Pharma LLC
26551,Angelica Protective SPF 15,LABORATOIRES M&L
94236,Natural Progesterone,"BioActive Nutritional, Inc."
42697,Dermasil Advanced,Rise International Group LLC
23347,Hydrocortisone,Dynarex Corporation
64356,Cyanocobalamin,"American Regent, Inc."
60742,HYDROXYZINE HYDROCHLORIDE,Cardinal Health
79712,AVERTEAX,"Camellix, LLC"
69368,Neutrogena SkinClearing,Neutrogena Corporation
78340,Lungs and Bronchial Relief,New Sun Inc.
40665,Pin-X,"Quartz Specialty Pharmaceuticals, LLC"
23134,ELF Conceler Pencil and Brush,J. A. Cosmetics U.S. INC
68718,phendimetrazine tartrate,"C.O. Truxton, Inc."
23593,zzz sleep,Western Family Foods Inc
70787,Couch Quack Grass,"Nelco Laboratories, Inc."
13599,Nigrospora sphaerica,"Nelco Laboratories, Inc."
95356,KALI SULPH,Hyland's
10799,Scorodite Saccharum Special Order,Uriel Pharmacy Inc.
31182,smart sense analgesic,Kmart Corporation
72078,CARMEX original lip balm EXTERNAL ANALGESIC,"Carma Laboratories, Inc."
64915,Topco Arthritis 8 Hour,Topco Associates LLC
30459,Ibuprofen,MARKSANS PHARMA LIMITED
69936,Sulfamethoxazole and Trimethoprim,Northwind Pharmaceuticals
86810,NESTABS DHA,WOMENS CHOICE PHARMACEUTICALS LLC
45310,ORIGINAL POWER ARGAN OIL AMPOULE,"NATURE REPUBLIC CO., LTD."
61696,Omeprazole Magnesium,The Kroger Co.
80773,Neurospora intermedia,"Nelco Laboratories, Inc."
21410,Norgestimate and Ethinyl Estradiol,"Glenmark Generics Inc., USA"
45074,Laura mercier Flawless skin Mega Moisturizer SPF-15 NORMAL COMBINATION,"Gurwitch Products, L.L.C."
20263,Sulfamethoxazole and Trimethoprim,AvPAK
99316,DIGOX,Carilion Materials Management
17290,DEMEROL,"Hospira, Inc."
64452,Cefuroxime Axetil,"Preferred Pharmaceuticals, Inc."
50055,Full Care Povidone Iodine Solution,"Shaoxing Fuqing Health Products Co., Ltd."
93218,Budesonide,Par Pharmaceutical Inc.
77469,Oxycodone and Acetaminophen,"Watson Laboratories, Inc."
75408,Jimin Zhuifeng Gao,Guangdong Zhanjiang Jimin Pharmaceutical Co. Ltd
90811,Effer-K,Nomax Inc.
86465,AMITRIPTYLINE HYDROCHLORIDE,REMEDYREPACK INC.
81432,Meloxicam,"NCS HealthCare of KY, Inc dba Vangard Labs"
68556,Karbinal,"FSC Laboratories, Inc"
14505,Cepacol,Reckitt Benckiser LLC
46344,CEFPODOXIME PROXETIL,Aurobindo Pharma Limited
18928,Vagisil Anti Itch Original Strength,Combe Incorporated
60734,Menstrual Complete,The Kroger Co.
15919,Lyrica,"Aphena Pharma Solutions - Tennessee, LLC"
99439,good sense antacid,L. Perrigo Company
10034,Baclofen,"Upsher-Smith Laboratories, Inc."
17676,Alcohol Free Antiseptic,Kroger Co
90108,Allopurinol,Qualitest Pharmaceuticals
72529,Salsalate,"Nationwide Laboratories, LLC"
38393,Pantoprazole Sodium,Torrent Pharmaceuticals Limited
68568,Doxycycline,Aidarex Pharmaceuticals LLC
26273,Hum CC,"Happy Sonic Global Co., Ltd."
24698,equate daytime nitetime,Wal-Mart Stores Inc
21725,Anti Monkey Butt Diaper Rash,"DSE Healthcare Solutions, LLC."
42280,pain reliever,Hannaford Brothers Company
45171,berkley and jensen ibuprofen pm,BJWC
64983,First aid and Burn,"B8 Sales, Inc."
85766,Panrosa Antibacterial Hand With Moisturizers,"Panrosa Enterprises, Inc."
64840,Antimicrobial Hand Sanitizer,Hanover Pen Corp dba HPC Global
32181,Levemir,Novo Nordisk
44451,Platinol-AQ,Corden Pharma Latina S.p.A.
63856,Carisoprodol and Aspirin,Heritage Pharmaceuticals Inc.
78471,STAVZOR,"Noven Therapeutics, LLC"
82579,AZITHROMYCIN,KAISER FOUNDATION HOSPITALS
21889,Bupropion Hydrochloride,REMEDYREPACK INC.
92934,RESTORIL,"Mallinckrodt, Inc."
18297,flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP04 Rich Beige,Kosan Kozmetik Sanayi ve Ticaret A.S.
31875,IOPE RETIGEN MOISTURE TWIN CAKE NO.23,AMOREPACIFIC
16423,Gaba,"BioActive Nutritional, Inc."
94634,Isosorbide Mononitrate,"NCS HealthCare of KY, Inc dba Vangard Labs"
64746,Antimicrobial,"Safetec of America, Inc."
29006,Sani-Spritz,"ABC Compounding Co., Inc."
88625,Avon Elements,"Avon Products, Inc"
98508,Morphine Sulfate,"H.J. Harkins Company, Inc."
35780,Speed Stick Gear Clean Peak,Colgate-Palmolive Company
52092,YAT TIP TOR,"GUANGZHOU BAIYUNSHAN PHARMACEUTICAL CO., LTD. BAIYUNSHAN HEJIGONG PHARMACEUTICAL FACTORY"
62958,Propranolol Hydrochloride,Cardinal Health
24843,Alert,"L.N.K. International, Inc."
51235,Carvedilol,Cadila Healthcare Limited
94236,Cold Hands - Feet,"Newton Laboratories, Inc."
88287,Moisture Renew,Rimmel Inc.
46309,Treatment Set TS329802,"Antigen Laboratories, Inc."
86677,Nasal Decongestant,Bryant Ranch Prepack
11333,Levofloxacin,Major Pharmaceuticals
17867,Zinecard,Pharmacia and Upjohn Company
85686,RISPERDAL,Rebel Distributors Corp
81564,MANGO BUTTER LIPSTICK,ART COSMETICS SRL
59545,Phoma,"Antigen Laboratories, Inc."
40186,NEUPOGEN,Amgen Inc
33813,dg health miconazole 3,Dolgencorp Inc
77259,Readycleanse,"Medline Industries, Inc."
88015,Laxative,CVS Pharmacy
32890,Stress and Anxiety,New Sun Inc.
78672,Lorazepam,A-S Medication Solutions LLC
36211,Oxy Maximum Action Advanced Face Wash,The Mentholatum Company
68618,Rifater,sanofi-aventis U.S. LLC
40337,CAREONE,AMERICAN SALES COMPANY
49210,Brovana,Sunovion Pharmaceuticals Inc.
11726,ESIKA,Ventura Corporation Ltd.
